rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	1	5917	972	968	1142.86	1175.39	1180.55	-0.00777989	0.0972538	0.357367	0.480817	0.340676	0.434574	580	0	97	0.999394	0.091616	0.159033	0.0976926	0.0976992	0.0153961	2108	2929	0	0.0316601
1	0	4219	452	434	814.891	1037.43	1183.16	-0.307634	0.932828	1.45716	1.46689	1.32178	1.2388	378	0	92	0.997778	0.164296	0.272102	0.121886	0.121927	0.0264979	881	nan	nan	nan
1	1	6053	1104	1097	1169.12	1192.69	1159.11	0.0494146	0.06886	0.161188	0.193886	0.155848	0.179189	559	0	98	0.999596	0.09154	0.157608	0.0967051	0.0967164	0.0147797	2378	2729	0	0.0433091
2	0	4462	399	396	861.826	1148.7	1159.87	-0.0222866	1.1371	1.7189	1.69673	1.59689	1.48854	421	0	88	0.996768	0.148397	0.251233	0.127835	0.127841	0.0288945	855	nan	nan	nan
2	1	6105	1155	1145	1179.17	1242.07	1200.36	0.0608605	0.182256	0.162121	0.0910717	0.152801	0.0833191	607	0	98	0.999596	0.0846986	0.14955	0.0998449	0.0998607	0.0152774	2223	2937	0	0.0412097
3	0	4370	449	428	844.057	1048.53	1187.33	-0.282898	0.82751	1.44681	1.5472	1.30665	1.30076	402	0	94	0.998788	0.148089	0.24897	0.118953	0.118999	0.0266273	885	nan	nan	nan
3	1	5936	1110	1100	1146.53	1174.9	1105.67	0.103896	0.0845473	0.128649	0.127529	0.121102	0.114251	585	0	97	0.999394	0.0795282	0.140499	0.0971036	0.0971202	0.0153321	2218	2854	0	0.0339927
4	0	4405	437	431	850.817	1125.14	1138.16	-0.0263284	1.10139	1.60562	1.54884	1.4862	1.35067	407	0	93	0.998586	0.151907	0.251305	0.126735	0.126748	0.0267572	838	nan	nan	nan
4	1	5933	1094	1083	1145.95	1181.88	1164.3	0.0264079	0.107153	0.169939	0.172625	0.157558	0.150936	569	0	99	0.999798	0.0898517	0.158773	0.0977687	0.0977868	0.0148452	2123	2867	0	0.0321204
5	0	4093	367	360	790.555	1008.72	1113.8	-0.228637	0.94265	1.61463	1.70895	1.49042	1.48465	380	0	92	0.997778	0.15347	0.254581	0.122335	0.122351	0.0247899	824	nan	nan	nan
5	1	5567	1028	1003	1075.25	1099.06	1142.86	-0.0700999	0.0756293	0.175908	0.211131	0.138186	0.147144	544	0	92	0.998384	0.0891125	0.156098	0.0968821	0.0969253	0.0163097	2037	2692	0	0.0295264
6	0	4700	464	451	907.795	1170.11	1159	0.0210695	0.987161	1.55925	1.57994	1.42982	1.35775	437	0	88	0.997374	0.145776	0.248085	0.123505	0.123531	0.026127	897	nan	nan	nan
